Operating Airline_,total_passengers,avg_passengers,median_passengers,Airline_count,International_A,International_G,Other_Other,Terminal 1_A,Terminal 1_B,Terminal 1_C,Terminal 2_D,Terminal 3_E,Terminal 3_F,2005_Fall,2005_Summer,2005_Winter,2006_Fall,2006_Spring,2006_Summer,2006_Winter,2007_Fall,2007_Spring,2007_Summer,2007_Winter,2008_Fall,2008_Spring,2008_Summer,2008_Winter,2009_Fall,2009_Spring,2009_Summer,2009_Winter,2010_Fall,2010_Spring,2010_Summer,2010_Winter,2011_Fall,2011_Spring,2011_Summer,2011_Winter,2012_Fall,2012_Spring,2012_Summer,2012_Winter,2013_Fall,2013_Spring,2013_Summer,2013_Winter,2014_Fall,2014_Spring,2014_Summer,2014_Winter,2015_Fall,2015_Spring,2015_Summer,2015_Winter,2016_Spring,2016_Winter,Cluster
Asiana Airlines,1522964,5902.961240310077,5158.5,258,258,0,0,0,0,0,0,0,0,29398,17260,9788,25834,26379,27311,26846,24283,28546,29221,24457,26516,27393,28886,26197,26544,24914,28626,27757,26663,27424,29100,27320,40142,32663,49387,31093,45878,44933,51279,42611,37400,46600,48437,43959,45043,45468,49301,43460,44367,46281,49659,43968,14105,30267,0
Atlantic Southeast Airlines,47892,2176.909090909091,1810.0,22,0,0,0,0,0,0,0,0,0,0,6331,0,8506,0,0,4122,0,18165,0,10768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlas Air, Inc",68,34.0,34.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BelAir Airlines,9138,415.3636363636364,339.0,22,22,0,0,0,0,0,0,0,0,423,1974,0,179,0,2426,0,0,0,0,0,826,0,3310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing Company,18,18.0,18.0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Airways,4547282,17625.124031007752,18326.5,258,258,0,0,0,0,0,0,0,0,110349,82714,30329,108753,114401,120146,90121,107721,112592,119421,89696,101687,105984,118306,88515,105727,97996,119001,75842,105029,87083,110281,74738,108854,106155,115145,90065,107821,110186,113680,88051,106966,110728,113058,94602,106404,106733,113959,96140,125430,117932,130606,98407,37826,72102,1
"COPA Airlines, Inc.",47853,3418.0714285714284,3771.0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16642,0,0,8283,7896,15032,0
Cathay Pacific,4417302,17121.325581395347,18026.0,258,258,0,0,0,0,0,0,0,0,59008,41441,20255,59493,65003,65951,60960,85035,64718,65703,77945,103531,118842,119549,120515,105117,118788,119965,114642,119901,124950,128837,117578,113173,125820,124757,113959,106847,121462,117469,110216,102024,107506,110721,102810,98773,107142,108940,101765,118517,102988,123773,104672,40059,76182,1
China Airlines,2543239,9857.51550387597,10024.5,258,258,0,0,0,0,0,0,0,0,57001,50475,21186,58032,65167,67038,64047,53961,66145,67787,63349,47365,61245,65594,58291,54444,62838,63369,58510,52005,61160,64178,58833,49505,58831,59431,54933,52011,55738,62906,56688,50242,58588,63190,57480,50142,62533,62917,59268,49361,62527,59893,58174,19387,37474,0
China Eastern,395885,5498.402777777777,5554.0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30344,13400,37256,10357,29652,34715,36817,30596,33485,31122,36450,34167,12130,25394,0
